"ubicacion","cole_bilingue","cole_calendario","cole_caracter","cole_depto_ubicacion","cole_genero","cole_jornada","cole_naturaleza","fami_educacionmadre","fami_educacionpadre","estu_genero","fami_estratovivienda","fami_personashogar","fami_cuartoshogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","punt_ingles","punt_matematicas","punt_sociales_ciudadanas","punt_c_naturales","punt_lectura_critica","punt_global"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","Primaria completa","Primaria incompleta","F","Estrato 2","Cuatro","Dos","No","No","No","46.35","46.84",,,,
"URBANO","","A","ACADÉMICO","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","Cinco","Tres","No","Si","Si","56.0","57.0","60","62","55","292"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CALDAS","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Seis","Cuatro","No","No","No","33.0","42.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Postgrado","Primaria incompleta","M","Estrato 1","Tres","Dos","No","No","Si","57.0","52.0","56","54","50","267"
"URBANO","","A","TÉCNICO/ACADÉMICO","MAGDALENA","MIXTO","MAÑANA","OFICIAL","Ninguno","Primaria incompleta","F","Estrato 1","7 a 8","Dos","No","No","No","37.0","32.0","27","39","40","173"
"URBANO","","A","TÉCNICO/ACADÉMICO","NORTE SANTANDER","MIXTO","SABATINA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Seis","Tres","No","No","No","45.84","42.4",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","M","Estrato 1","Cinco","Tres","No","No","No","40.0","38.0",,,,
"URBANO","","A","ACADÉMICO","BOGOTA","MIXTO","TARDE"," D.C.""","Tres","Secundaria (Bachillerato) incompleta","08/10/1997","Secundaria (Bachillerato) completa","Estrato 2","N","Cinco","No","Si",,"33.0","52",,,
"URBANO","N","A","ACADÉMICO","BOLIVAR","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Ocho","Tres","No","No","No","53.0","49.0","40","41","47","225"
"URBANO","N","A","ACADÉMICO","RISARALDA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Tres","Tres","No","Si","Si","32.0","46.0","46","47","46","226"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","NOCHE","NO OFICIAL","Secundaria (Bachillerato) incompleta","Educación profesional completa","F","Estrato 2","1 a 2","Tres","No","No","Si","48.0","46.0","40","42","48","222"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","NOCHE","NO OFICIAL","Secundaria (Bachillerato) incompleta","Educación profesional completa","F","Estrato 2","1 a 2","Tres","No","No","Si","48.0","46.0","40","42","48","222"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","TARDE","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","F","Estrato 3","1 a 2","Tres","No","Si","Si","31.0","53.0","50","49","57","253"
"URBANO","N","A","ACADÉMICO","CALDAS","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","M","Estrato 3","Cinco","Tres","Si","Si","Si","65.0","77.0","61","64","79","349"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria incompleta","F","Estrato 1","Cuatro","Dos","No","No","No","55.0","68.0","61","59","61","308"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","COMPLETA","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) incompleta","M","Estrato 2","1 a 2","Dos","Si","Si","Si","58.0","63.0","58","68","59","308"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 3","Cuatro","Dos","Si","Si","Si","55.0","60.0","66","56","50","289"
"URBANO","N","A","TÉCNICO/ACADÉMICO","HUILA","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 2","Tres","Dos","No","No","No","48.42","39.12",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","CASANARE","MIXTO","TARDE","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","Cuatro","Dos","No","No","No","48.0","53.0",,,,
"URBANO","N","A","ACADÉMICO","SUCRE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Postgrado","F","Estrato 2","Cuatro","Tres","No","No","Si","44.0","55.0","43","67","49","264"
"URBANO","","A","TÉCNICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria incompleta","F","Estrato 3","Cinco","Tres","Si","No","No","37.19","39.25",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","F","Estrato 1","Cuatro","Tres","No","Si","Si","48.0","39.0","56","45","49","237"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 2","Tres","Tres","No","Si","Si","39.0","60.0",,,,
"URBANO","N","B","TÉCNICO","CAUCA","MIXTO","MAÑANA","NO OFICIAL","No sabe","No sabe","M","Estrato 1","1 a 2","Tres","No","Si","Si","50.0","55.0","37","48","47","235"
"URBANO","N","A","","LA GUAJIRA","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 1","Cinco","Dos","No","No","No","43.0","30.0","3","24","37","125"
"URBANO","N","A","ACADÉMICO","VALLE","MIXTO","SABATINA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 1","Seis","Tres","No","Si","No","47.0","37.0","37","34","35","183"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","COMPLETA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","M","Estrato 1","Cinco","Cuatro","No","No","No","51.0","62.0","59","51","45","270"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","F","Estrato 2","5 a 6","Cuatro","Si","Si","Si","75.0","70.0","69","74","75","361"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","F","Estrato 2","5 a 6","Cuatro","Si","Si","Si","75.0","70.0","69","74","75","361"
"URBANO","N","A","ACADÉMICO","LA GUAJIRA","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica incompleta","Técnica o tecnológica completa","F","Estrato 2","5 a 6","Tres","No","Si","Si","44.0","48.0","57","55","67","279"
"URBANO","N","A","ACADÉMICO","LA GUAJIRA","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica incompleta","Técnica o tecnológica completa","F","Estrato 2","5 a 6","Tres","No","Si","Si","44.0","48.0","57","55","67","279"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ATLANTICO","MIXTO","UNICA","OFICIAL","Educación profesional incompleta","Educación profesional incompleta","F","Sin Estrato","5 a 6","Tres","Si","Si","No","48.0","50.0","50","58","58","268"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","TARDE","OFICIAL","Primaria incompleta","Primaria completa","F","Estrato 1","1 a 2","Uno","No","Si","No","41.0","35.0","46","47","52","223"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","Tres","Tres","No","No","No","45.0","59.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 1","Siete","Tres","No","No","No","43.0","46.0",,,,
"URBANO","N","A","TÉCNICO","BOYACA","MIXTO","SABATINA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Cinco","Tres","No","Si","No","63.0","41.0","46","43","51","232"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Técnica o tecnológica incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 3","Tres","Dos","No","Si","Si","43.0","51.0",,,,
"URBANO","N","A","ACADÉMICO","LA GUAJIRA","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cinco","Uno","No","No","No","30.0","31.0",,,,
"URBANO","N","A","TÉCNICO","ATLANTICO","MIXTO","TARDE","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) completa","F","Estrato 2","7 a 8","Tres","No","Si","Si","80.0","72.0","70","71","69","356"
"URBANO","N","A","ACADÉMICO","RISARALDA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","F","Estrato 2","Siete","Tres","No","Si","Si","43.0","35.0",,,,
"URBANO","N","A","TÉCNICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Educación profesional completa","M","Estrato 2","9 o más","Tres","No","No","No","51.0","59.0","47","46","54","257"
"URBANO","N","A","TÉCNICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Educación profesional completa","M","Estrato 2","9 o más","Tres","No","No","No","51.0","59.0","47","46","54","257"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Ninguno","Educación profesional incompleta","M","Estrato 3","Tres","Dos","Si","Si","Si","46.0","50.0","43","46","56","243"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CALDAS","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","M","Estrato 1","Cinco","Tres","No","No","No","44.93","65.63",,,,
"RURAL","N","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","OFICIAL","Ninguno","Primaria completa","M","Estrato 1","Cinco","Dos","No","No","No","52.08","25.39",,,,
"URBANO","N","B","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Postgrado","Postgrado","M","Estrato 6","3 a 4","Tres","Si","Si","Si","86.0","80.0","74","74","70","377"
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","OTRO","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Primaria completa","Secundaria (Bachillerato) incompleta","M","Estrato 5","Seis","Tres","No","Si","Si","34.0","42.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","SANTANDER","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","Cinco","Dos","No","No","No","41.0","44.0","41","37","44","207"
"URBANO","N","A","ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cinco","Tres","Si","Si","Si","63.0","53.0","56","60","58","285"
"URBANO","N","A","TÉCNICO/ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 3","Cuatro","Tres","No","Si","Si","29.0","41.0",,,,
"URBANO","N","A","TÉCNICO","VALLE","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 1","Cinco","Cuatro","No","Si","Si","78.0","61.0","50","45","64","284"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Ninguno","F","Estrato 2","3 a 4","Tres","No","No","No","47.0","31.0","25","31","39","163"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Ninguno","F","Estrato 2","3 a 4","Tres","No","No","No","47.0","31.0","25","31","39","163"
"URBANO","S","A","ACADÉMICO","HUILA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Educación profesional completa","M","Estrato 3","Seis","Tres","Si","Si","Si","71.0","57.0",,,,
"RURAL","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","Postgrado","Educación profesional completa","M","Estrato 4","Cinco","Cuatro","Si","Si","Si","74.0","102.0",,,,
"URBANO","N","A","ACADÉMICO","NORTE SANTANDER","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","M","Estrato 1","5 a 6","Dos","No","No","Si","41.0","50.0","31","52","42","218"
"URBANO","N","A","ACADÉMICO","NORTE SANTANDER","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","M","Estrato 1","5 a 6","Dos","No","No","Si","41.0","50.0","31","52","42","218"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 3","Cuatro","Cuatro","No","Si","Si","39.0","35.0",,,,
"RURAL","","A","ACADÉMICO","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Educación profesional completa","F","Estrato 4","3 a 4","Tres","Si","Si","Si","79.0","65.0","70","62","69","337"
"URBANO","N","A","TÉCNICO/ACADÉMICO","SUCRE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","F","Estrato 1","3 a 4","Dos","No","No","No","39.0","29.0","24","39","36","163"
"URBANO","N","A","TÉCNICO/ACADÉMICO","SUCRE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","F","Estrato 1","3 a 4","Dos","No","No","No","39.0","29.0","24","39","36","163"
"URBANO","N","A","TÉCNICO","RISARALDA","MIXTO","MAÑANA","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","M","Estrato 2","Seis","Cuatro","Si","Si","Si","54.0","68.0","59","61","53","299"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","UNICA","OFICIAL","Primaria incompleta","Técnica o tecnológica completa","M","Estrato 2","3 a 4","Tres","Si","Si","Si","64.0","67.0","60","62","59","311"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","UNICA","OFICIAL","Primaria incompleta","Técnica o tecnológica completa","M","Estrato 2","3 a 4","Tres","Si","Si","Si","64.0","67.0","60","62","59","311"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","M","Estrato 1","Seis","Cinco","Si","Si","Si","43.0","29.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","F","Estrato 1","Seis","Tres","Si","No","No","50.1","45.38",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTA","FEMENINO","MAÑANA"," D.C.""","Dos","Secundaria (Bachillerato) incompleta","20/08/1995","Primaria incompleta","Estrato 3","N","Cuatro","No","No",,"56.0","71",,,
"URBANO","N","A","ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 1","Cinco","Tres","No","Si","Si","49.0","60.0","60","55","62","292"
"URBANO","","A","TÉCNICO","BOLIVAR","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria incompleta","F","Estrato 1","Tres","Cuatro","Si","Si","Si","58.0","53.0","48","55","47","256"
"URBANO","N","A","TÉCNICO/ACADÉMICO","NORTE SANTANDER","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 1","Cuatro","Uno","No","No","No","45.0","60.0","46","54","57","268"
"URBANO","N","A","TÉCNICO/ACADÉMICO","SANTANDER","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","F","Estrato 4","Seis","Tres","No","Si","Si","50.87","60.91",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","SABATINA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 2","Seis","Tres","No","Si","Si","50.0","33.0","32","40","40","187"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CALDAS","MIXTO","COMPLETA","OFICIAL","Primaria incompleta","No sabe","F","Estrato 2","Nueve","Cinco","No","No","No","43.0","38.0",,,,
"RURAL","N","A","TÉCNICO","TOLIMA","MIXTO","COMPLETA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 1","Cinco","Dos","No","No","No","27.0","46.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","CESAR","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Siete","Uno","No","No","No","35.0","46.0",,,,
"RURAL","N","A","ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cinco","Tres","No","No","No","47.15","55.89",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ATLANTICO","MIXTO","TARDE","NO OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","F","Estrato 3","5 a 6","Tres","No","No","Si","51.0","55.0","45","46","46","241"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ATLANTICO","MIXTO","TARDE","NO OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","F","Estrato 3","5 a 6","Tres","No","No","Si","51.0","55.0","45","46","46","241"
"URBANO","N","A","ACADÉMICO","ATLANTICO","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","Cuatro","Dos","No","No","No","46.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","Diez","Cinco","No","Si","No","43.0","42.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","META","MIXTO","MAÑANA","OFICIAL","Educación profesional completa","Educación profesional completa","F","Estrato 3","Cuatro","Tres","Si","Si","Si","55.0","56.0","50","60","48","268"
"URBANO","N","A","ACADÉMICO","SANTANDER","MIXTO","NOCHE","OFICIAL","No sabe","No sabe","M","Estrato 1","Una","Uno","No","No","No","55.0","60.0","54","59","51","281"
"URBANO","N","A","TÉCNICO","VALLE","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Ninguno","M","Estrato 2","Tres","Dos","No","No","No","66.0","65.0","51","65","52","294"
"URBANO","N","OTRO","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 3","Tres","Cuatro","No","Si","Si","47.0","30.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","MAGDALENA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria completa","M","Estrato 1","Dos","Uno","No","No","No","43.0","51.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","NARIÑO","MIXTO","TARDE","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Cuatro","Dos","No","No","No","19.0","49.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cinco","Dos","No","Si","Si","42.0","39.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","NOCHE","OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","M","Estrato 3","Cuatro","Tres","Si","Si","Si","49.0","25.0","43","36","32","176"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","M","Estrato 1","Cuatro","Dos","No","No","Si","33.0","43.0","41","38","44","204"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","TARDE","OFICIAL","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","F","Estrato 4","Tres","Dos","No","Si","Si","50.1","53.37",,,,
"URBANO","N","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","NO OFICIAL","Técnica o tecnológica completa","Educación profesional completa","M","Estrato 2","Cinco","Cuatro","No","Si","Si","54.0","58.0","61","54","65","294"
"RURAL","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 2","Tres","Dos","No","No","No","51.33","55.62",,,,
"RURAL","","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) completa","F","Estrato 1","Nueve","Dos","No","No","No","34.0","46.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Educación profesional completa","M","Estrato 3","3 a 4","Tres","Si","Si","Si","73.0","65.0","70","61","65","329"
"URBANO","N","A","TÉCNICO","CASANARE","MIXTO","MAÑANA","OFICIAL","Ninguno","Primaria completa","F","Estrato 1","3 a 4","Tres","No","No","No","33.0","46.0","35","45","50","216"
"URBANO","N","A","TÉCNICO","CASANARE","MIXTO","MAÑANA","OFICIAL","Ninguno","Primaria completa","F","Estrato 1","3 a 4","Tres","No","No","No","33.0","46.0","35","45","50","216"
"URBANO","","A","ACADÉMICO","CORDOBA","MIXTO","TARDE","OFICIAL","Técnica o tecnológica incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 1","5 a 6","Uno","No","No","No","35.0","41.0","37","50","48","217"
"URBANO","N","A","TÉCNICO/ACADÉMICO","NARIÑO","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cuatro","Uno","No","No","No","43.0","37.0","49","52","51","235"
"RURAL","N","A","TÉCNICO","CAQUETA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","M","Sin Estrato","5 a 6","Cuatro","No","No","No","36.0","43.0","46","43","41","213"
"RURAL","","A","ACADÉMICO","LA GUAJIRA","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Tres","Dos","No","No","No","40.0","28.0","24","40","38","165"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Educación profesional completa","M","Estrato 3","Cuatro","Tres","Si","Si","Si","45.0","56.0","55","54","43","257"
"URBANO","N","A","ACADÉMICO","CORDOBA","MIXTO","SABATINA","NO OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Cuatro","Tres","No","No","No","35.0","28.0",,,,
"URBANO","N","A","ACADÉMICO","NARIÑO","MIXTO","NOCHE","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Nueve","Dos","No","No","No","43.0","43.0","40","48","47","222"
"URBANO","N","A","TÉCNICO/ACADÉMICO","META","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Dos","No","Si","Si","58.0","74.0","70","67","73","350"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA"," D.C.""","Tres","Secundaria (Bachillerato) completa","30/11/1996","Primaria incompleta","Estrato 3","N","Cuatro","Si","Si",,"45.0","43",,,
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Educación profesional completa","M","Estrato 4","Tres","Cuatro","Si","Si","Si","85.0","67.0","70","71","57","338"
"URBANO","N","A","TÉCNICO/ACADÉMICO","NORTE SANTANDER","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria incompleta","F","Estrato 1","Seis","Uno","No","No","No","53.0","42.0","37","45","33","202"
"RURAL","N","A","ACADÉMICO","VALLE","MIXTO","SABATINA","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Cuatro","Dos","No","No","No","54.0","55.0","49","48","50","254"
"URBANO","","A","ACADÉMICO","BOYACA","MIXTO","MAÑANA","NO OFICIAL","Técnica o tecnológica completa","No sabe","F","Estrato 3","Cinco","Tres","No","Si","Si","43.0","47.0","39","51","46","228"
"URBANO","S","A","ACADÉMICO","PUTUMAYO","MIXTO","MAÑANA","OFICIAL","Ninguno","Primaria completa","M","Estrato 4","3 a 4","Tres","Si","Si","No","66.0","61.0","63","52","62","300"
