"periodo","departamento","codigo_departamento","puntaje_ingles","max_p_ingles","min_p_ingles","std_ingles","puntaje_mate","max_p_mate","min_p_mate","std_mate","puntaje_soc","max_p_soc","min_p_soc","std_soc","puntaje_nat","max_p_nat","min_p_nat","std_nat","puntaje_lec","max_p_lec","min_p_lec","std_lec","puntaje_global","max_p_global","min_p_global","std_global"
"20191","CALDAS","17","75.9494382022472","91.0","43.0","7.32094933172115","68.09550561797752","100.0","41.0","9.086954828103352","64.73595505617978","100","33","10.91274843754979","65.48876404494382","100","38","9.322373769650776","65.69662921348315","82","41","8.071578783226427","333.8370786516854","444","206","38.976762255699"
"20162","ATLANTICO","8","51.738265373016915","100.0","0.0","12.077650354401676","49.46082994624361","100.0","20.0","11.748478805619886","49.000229448013634","100","22","11.009626957533769","51.21699226432411","100","25","10.028989859315937","51.8111315064901","100","0","9.89056343937693","252.38481709715484","455","133","48.651649464501446"
"20142","CALDAS","17","49.64390702444027","100.0","0.0","8.936706671955438","49.512647410699024","100.0","7.0","9.691611055943621","49.880211441725635","93","0","9.410754679555785","49.86051666808765","96","17","9.681946732789761","49.91022252536448","100","0","9.225057002448919","248.4654275726831","463","33","41.57514711146265"
"20162","ARAUCA","81","49.942690459849004","100.0","31.0","10.172076458645684","51.102608098833215","82.0","24.0","11.185793552725926","49.35929993136582","82","23","9.97901699996388","52.82944406314345","80","25","8.847066843114169","51.85072065888813","80","26","9.019147794751394","255.9066575154427","383","144","43.31217608162369"
"20142","LA GUAJIRA","44","46.646267361111114","100.0","0.0","7.166197074392492","46.557291666666664","95.0","0.0","8.858600093450722","46.273148148148145","84","0","9.633707465640637","45.90321180555556","81","0","9.01995607988763","45.81495949074074","84","0","9.50536432626665","230.8900462962963","410","0","38.06807683871627"
"20181","GUAINIA","94","40.705882352941174","57.0","0.0","13.0132850670111","39.23529411764706","55.0","23.0","8.151145715210117","41.588235294117645","60","31","7.90615917757646","44.470588235294116","57","34","7.417189891215739","45.64705882352941","60","32","9.048074218242439","212.94117647058823","286","152","32.84903078523645"
"20171","SANTANDER","68","88.88172043010752","100.0","74.0","7.585526066371388","77.3010752688172","100.0","56.0","9.195680633291396","72.76344086021506","100","45","8.431821002790254","75.12903225806451","100","57","7.587498021562111","71.38709677419355","100","47","7.209643689658824","376.36559139784947","443","298","30.942016230304823"
"20191","LA GUAJIRA","44","76.94594594594595","92.0","53.0","10.088348466165053","66.64864864864865","100.0","48.0","9.475747452828712","61.86486486486486","80","28","11.695588347184026","64.83783783783784","100","48","8.902289073645651","65.67567567567568","81","53","7.538987752764712","328.4594594594595","445","247","39.22767914127487"
"20172","QUINDIO","63","50.10825163398693","100.0","0.0","11.259114606041093","50.350762527233115","100.0","19.0","12.026008152596605","50.44893790849673","100","19","10.980681113526915","50.98788126361656","100","0","10.086821261081097","53.63807189542484","100","0","9.658756107043242","256.30392156862746","448","119","47.978188061118544"
"20194","QUINDIO","63","50.48560371517028","100.0","0.0","12.391688254172939","51.79736842105263","100.0","17.0","12.186273605170896","47.460061919504646","100","19","12.30174269924317","49.04272445820433","100","22","11.015517333046272","53.173219814241484","100","0","10.395396688746995","251.88931888544892","448","115","51.95222766878901"
"20151","CORDOBA","23","55.34615384615385","95.0","35.0","18.075230721791755","49.25","92.0","26.0","13.725286705407328","48.35576923076923","87","12","16.501790587885385","46.80769230769231","84","17","16.82062818348145","50.13461538461539","81","26","12.208589760013426","245.77884615384616","425","132","69.51942617809385"
"20211","SUCRE","70","33.0","33.0","33.0",,"32.0","32.0","32.0",,"30.0","30","30",,"36.0","36","36",,"40.0","40","40",,"172.0","172","172",
"20152","SUCRE","70","47.641043723554304","97.0","0.0","8.863528523456376","47.401181241184766","100.0","0.0","11.732137892267312","46.830483074753175","92","0","10.944729098174196","48.10049365303244","100","0","9.84850170019935","47.16748942172073","93","0","8.80564769770329","236.98298660084626","448","8","44.738238467447886"
"20171","CESAR","20","80.33333333333333","100.0","56.0","9.992195536077428","70.22916666666667","100.0","45.0","10.603571424305805","70.79166666666667","100","42","10.890085933141467","71.1875","100","42","10.66841879448253","68.5","81","47","8.235884119755605","354.7083333333333","415","235","42.278689533291846"
"20194","BOLIVAR","13","44.340884021430824","100.0","0.0","11.948928639979975","46.546620505153825","100.0","15.0","11.693770180265798","42.258792981351796","100","0","11.926867508928542","44.79707294043591","100","20","10.640019032195347","48.894326854984655","100","0","10.8948787727673","227.40321819183256","475","33","51.03141799685583"
"20162","CHOCO","27","45.334282325029655","100.0","0.0","9.326971928982774","42.16820877817319","79.0","0.0","10.110116780422542","43.18552787663108","75","23","9.570175417548857","44.10771055753262","79","25","8.711686059144334","46.080901542111505","78","0","8.710219254003293","219.9879003558719","375","71","39.84166092970911"
"20201","TOLIMA","73","44.60526315789474","74.0","0.0","13.692897377709773","44.68421052631579","74.0","0.0","12.06892486381538","41.0","68","0","12.2343777937417","43.026315789473685","71","0","12.376293127546203","48.76315789473684","69","0","11.587198017412875","221.93421052631578","345","0","54.79691853290433"
"20161","NARIÑO","52","62.95955882352941","97.0","34.0","12.518113097595911","65.73529411764706","100.0","36.0","14.757941282898692","62.69485294117647","94","19","12.130847628460922","64.46691176470588","100","31","11.471720757736275","58.69117647058823","83","39","7.877301414672367","314.51838235294116","450","168","51.3796342874663"
"20211","SANTANDER","68","76.03105590062111","100.0","24.0","21.207434533745605","70.34782608695652","100.0","24.0","19.00304609449667","63.732919254658384","100","26","14.599125728949986","63.5527950310559","100","30","13.835597484892915","66.1863354037267","100","24","14.268936965023052","333.639751552795","469","144","73.68009846585363"
"20224","LA GUAJIRA","44","41.170809367296634","100.0","0.0","14.604304201122702","44.61943734015345","100.0","15.0","11.797428722270096","41.96593350383632","83","18","11.01949154490851","44.33104859335038","100","24","9.386123383191876","47.31795396419437","100","0","10.369400001916338","221.48634271099743","426","86","48.05407070014955"
"20194","BOYACA","15","50.78974726653522","100.0","20.0","11.153379762213461","55.12116866822011","100.0","20.0","11.055059390149347","49.22274003704368","100","17","11.670041216156411","51.436338650893234","100","20","9.867058910434794","54.16920595088725","100","22","9.812531332114714","261.7869391169266","460","127","47.26603544013777"
"20194","CALDAS","17","48.43286015729906","100.0","0.0","11.955384833725741","50.35277191636294","100.0","18.0","11.817049356659776","46.33224630730865","100","19","11.780957293630712","48.443218875887204","100","21","10.478975095485177","52.04488778054863","100","22","10.226549832332811","246.1349510838289","443","130","49.903671174601975"
"20151","RISARALDA","66","58.01377410468319","100.0","23.0","17.620064147972464","54.680440771349865","100.0","0.0","16.84040549582306","54.48209366391185","100","12","16.488790232739003","53.51790633608815","87","0","16.338835680842365","53.37741046831956","93","18","12.599142166475076","271.60055096418733","466","51","72.91460001071957"
"20172","VAUPES","97","44.369791666666664","75.0","26.0","7.649892844406151","40.6796875","84.0","23.0","9.882812250061916","44.559895833333336","78","23","9.44333414532408","45.609375","68","29","8.001534815238749","46.544270833333336","74","29","8.755639345853403","221.75260416666666","358","153","38.41743706973954"
"20151","NORTE SANTANDER","54","44.594339622641506","67.0","30.0","5.556254822718854","44.43396226415094","73.0","22.0","8.593484650399843","43.9622641509434","68","15","10.65915616092067","41.58490566037736","71","19","9.794914058815763","45.075471698113205","67","18","8.8572790761342","219.1509433962264","333","142","35.82863777505103"
"20201","PUTUMAYO","86","43.59090909090909","57.0","27.0","8.238644565134067","45.43181818181818","66.0","27.0","10.616787337114848","41.54545454545455","61","25","9.069382547262164","42.09090909090909","65","27","9.56208156237421","47.81818181818182","70","31","9.104746340215181","220.9090909090909","323","139","41.36104120288671"
"20142","ATLANTICO","8","50.53644325290438","100.0","0.0","10.524767787165155","49.38044682752457","100.0","0.0","9.782893660861966","48.51224307417337","93","0","9.954331187965169","48.609043789097406","96","0","9.919053075995055","49.09833780160858","100","0","10.090401545873497","245.13193923145667","471","0","42.88057058312766"
"20162","CAQUETA","18","47.83095676172953","100.0","0.0","9.896877456825232","47.99103035878565","84.0","20.0","10.996210424715516","48.01011959521619","80","0","9.821287316322689","50.28633854645814","78","0","8.736388190102204","49.767709291628336","81","27","9.12650889276472","244.61913523459063","398","104","42.594414777297885"
"20211","CUNDINAMARCA","25","74.91510277033065","100.0","23.0","15.529098278654331","63.63782337198929","100.0","23.0","12.932964397817049","60.98126672613738","100","19","12.344338154206596","60.387154326494205","100","24","10.488513062866065","63.38269402319358","100","28","10.718343099900629","315.39161462979484","445","140","54.33036411931243"
"20162","LA GUAJIRA","44","46.30616509926855","100.0","0.0","9.625721780310391","44.76776384535005","100.0","21.0","11.007906926728426","45.021029258098224","82","22","10.125674143006588","47.670585161964475","100","25","9.412245284921326","48.02886624869384","82","26","9.17353291526718","231.8298066875653","426","135","43.937862480869924"
"20224","GUAINIA","94","44.252747252747255","84.0","28.0","11.37703472106236","44.709511568123396","81.0","20.0","12.207153925806558","42.84318766066838","76","21","11.074735523574326","45.22365038560411","74","27","9.085825924602632","47.113110539845756","78","27","10.76949588117943","224.16452442159382","373","133","48.663144134000234"
